[2025-12-19 22:32:12.248749] [database] [error] Failed to create object (0, 0): Invalid argument: id (must be valid)
[2025-12-19 22:32:17.388021] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388025] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388027] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388030] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388054] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388071] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388074] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388090] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388093] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388096] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388098] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388100] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388121] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388124] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388126] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388129] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388131] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388133] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388150] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388166] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388170] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388173] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388178] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388180] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388183] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388204] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388221] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388224] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388227] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388229] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388261] [game] [error] Failed to give object 3060 to mobile 2804: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 83/100
[2025-12-19 22:32:17.388279] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388297] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388300] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388303] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388305] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388307] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388328] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388361] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388363] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388366] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388383] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388385] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388387] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388389] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388391] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388404] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388407] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388409] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388427] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388445] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388448] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388450] [game] [error] Failed to give object 3060 to mobile 2802: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388471] [game] [error] Failed to give object 3060 to mobile 2803: Invalid state: Cannot carry that much weight: item a raft weighs 75, current weight 80/100
[2025-12-19 22:32:17.388489] [game] [error] Failed to give object 3
